,reward1,reward2
0,-2.524411992,-2.668731544
1,-2.926300719,-2.527407697
2,-2.601763027,-3.063878135
3,-2.932550769,-3.009338896
4,-2.821926241,-2.698887503
5,-2.787599739,-2.506383962
6,-2.785019731,-2.918509357
7,-2.596138372,-2.744199679
8,-2.756401045,-2.774411486
9,-2.555490288,-2.938923162
10,-2.695462182,-2.79567742
11,-2.936977982,-2.832228938
12,-2.911979858,-2.945000722
13,-2.635204283,-2.413347792
14,-2.945528578,-2.854406858
15,-2.810494788,-2.597334693
16,-2.449167877,-2.708681693
17,-2.57137927,-2.674278807
18,-2.493596647,-2.540510095
19,-2.761598265,-2.815671748
20,-2.666552884,-2.741935912
21,-2.511688805,-2.707209704
22,-2.512481663,-2.363684297
23,-2.445880127,-2.618588517
24,-2.478974534,-2.481998446
25,-2.531335896,-2.377183448
26,-2.542797154,-2.748230731
27,-2.607511109,-2.397697837
28,-2.573081421,-2.085356676
29,-2.149510243,-2.295870863
30,-2.451855504,-2.15992286
31,-2.37128328,-2.005715755
32,-2.404403174,-2.020899825
33,-2.301432482,-2.079250122
34,-1.922453021,-1.964222576
35,-2.286402169,-1.994904997
36,-1.993270164,-2.088665159
37,-2.192396638,-1.769876112
38,-1.910772682,-1.587859958
39,-2.083648032,-1.835453983
40,-2.181562578,-1.705177451
41,-2.152477124,-1.694621931
42,-2.208389151,-1.815740807
43,-2.076430222,-1.629386722
44,-2.198849815,-1.654850073
45,-2.106709613,-1.784374044
46,-1.683500129,-1.476985251
47,-1.840758618,-1.695345879
48,-2.013365478,-1.67683164
49,-1.745383572,-1.294017254
50,-1.752285793,-1.377645867
51,-1.837043298,-1.52947174
52,-1.591246787,-1.494832694
53,-1.547934017,-1.514801837
54,-1.414328013,-1.365634897
55,-1.376158172,-1.476283981
56,-1.361517576,-1.540409198
57,-1.406923341,-1.320283369
58,-1.387869824,-1.13719803
59,-1.217701495,-1.345419132
60,-1.169242388,-1.217115074
61,-0.98874433,-1.328863721
62,-1.061858724,-1.158104182
63,-1.220534514,-1.326054876
64,-0.987564024,-1.067288471
65,-0.999391854,-1.09016127
66,-0.999450785,-1.048323664
67,-0.884982889,-0.825521853
68,-0.749340735,-0.759200097
69,-0.491295223,-0.835256545
70,-0.645337632,-0.70315625
71,-0.551304003,-0.859601946
72,-0.470559225,-0.443573848
73,-0.507458345,-0.456385786
74,-0.452473914,-0.208465907
75,-0.142462226,0.034702031
76,-0.062981105,0.105877867
77,-0.1267518,0.268899925
78,-0.222677375,0.341297804
79,-0.212295371,0.296620001
80,-0.033232397,0.215208825
81,-0.118919701,0.416279964
82,-0.171242544,0.448484722
83,-0.284571349,0.297079966
84,-0.162877772,0.425757043
85,-0.0954726,0.385053837
86,-0.140548219,0.561334466
87,-0.193249689,0.427730955
88,-0.029570552,0.62225742
89,-0.093965341,0.661646815
90,-0.062861303,0.890376444
91,-0.048733848,0.855248148
92,-0.122613383,0.891373026
93,0.007651527,0.979772834
94,0.018080013,1.032988215
95,-0.046005477,1.139006371
96,-0.083132003,1.207547023
97,0.043986588,1.096165111
98,0.08927087,1.11143322
99,-0.034998987,1.078332865
100,0.086430963,1.290337575
101,0.088589776,1.45740057
102,0.2321915,1.426433864
103,0.303721122,1.285455326
104,0.232230325,1.466412311
105,0.358535149,1.419923319
106,0.484983323,1.39665276
107,0.618786062,1.501250174
108,0.591343667,1.804092532
109,0.591835994,1.923041435
110,0.726511406,1.80392908
111,0.645485743,1.848691619
112,0.756542006,2.107386959
113,0.962727004,2.002293768
114,1.037550629,2.084936238
115,0.993203149,2.240999652
116,1.11384993,2.257600242
117,1.080707424,2.336337114
118,1.208296883,2.547078781
119,1.206565666,2.640593668
120,1.208326143,2.930577563
121,1.233849408,2.890241085
122,1.347227064,3.058716758
123,1.365493169,3.120820073
124,1.48146552,2.92034031
125,1.645857257,2.875383671
126,1.610707418,2.951587284
127,1.605194133,3.049738379
128,1.735915635,3.052834688
129,1.621985888,3.083377083
130,1.620283585,3.269039005
131,1.560834152,3.293955615
132,1.593523178,3.395068306
133,1.653531843,3.565632073
134,1.709518173,3.282506887
135,1.678277945,3.31284799
136,1.764435512,3.300590417
137,1.810850031,3.313256091
138,1.812092226,3.402462979
139,1.997424474,3.3400979
140,2.109847972,3.2306289
141,2.077414238,3.307422745
142,2.022192843,3.197051351
143,1.995748567,3.12289789
144,2.12944726,3.145310784
145,2.295232732,2.907789478
146,2.213972704,3.157823441
147,2.162020686,2.94250177
148,2.174491712,2.880733405
149,2.323520628,2.971039593
150,2.345750384,2.967713255
151,2.32821552,2.985547704
152,2.375506932,2.918709557
153,2.337416105,3.027169758
154,2.386990207,2.943815833
155,2.455965159,3.215388414
156,2.490591295,3.178867461
157,2.341360527,3.303436005
158,2.418581009,3.345154618
159,2.367398855,3.358319124
160,2.545448757,3.316754479
161,2.534797753,3.376060416
162,2.558625281,3.213523347
163,2.729971224,3.148739215
164,2.706447055,3.245522112
165,2.868826532,3.218148253
166,2.979421006,3.418450146
167,3.025733783,3.125402058
168,3.124628789,3.272990855
169,3.172414214,3.377398384
170,3.191229459,3.238524064
171,3.16151535,3.136214157
172,3.170335291,2.935829808
173,3.250489179,3.148832699
174,3.31811629,3.239274167
175,3.239725418,3.129883887
176,3.291407536,3.057617601
177,3.302261804,3.128918505
178,3.260430954,3.045738238
179,3.308518024,3.094823317
180,3.234649126,3.225316994
181,3.195233759,3.226518409
182,3.106134289,3.1556759
183,2.91554043,3.085704023
184,2.752067788,3.094148765
185,2.984829582,3.110453612
186,3.337636021,3.009893567
187,3.17274423,3.157546628
188,3.076980689,3.098132687
189,3.551223376,3.098908927
190,3.279434728,3.286407232
191,3.131824136,3.065237634
192,3.466156011,3.273074414
193,3.339599292,3.202795213
194,3.361026504,3.414419334
195,3.487093804,3.266074229
196,3.279674151,3.143204213
197,3.212728354,3.326179017
198,3.575863923,3.286077106
199,3.467713354,3.397312961
200,3.417320215,3.203411394
201,3.464559142,3.310770386
202,3.286377105,3.008761632
203,3.52465651,3.113956741
204,3.517824852,3.281301025
205,3.521258443,3.249808054
206,3.490179475,3.410856772
207,3.474382016,3.351130378
208,3.485192209,3.357638817
209,3.419289092,3.168788133
210,3.446201293,3.233038907
211,3.315705877,3.253948943
212,3.485504092,3.401760637
213,3.430828472,3.275155183
214,3.443751366,3.358405616
215,3.463993619,3.284230784
216,3.427021311,3.291389175
217,3.531435055,3.186332364
218,3.17851948,3.17486483
219,3.683254346,3.200997185
220,3.506868877,3.245063541
221,3.432864964,3.342700716
222,3.709528334,3.279276054
223,3.43234778,3.246240264
224,3.514524885,3.1362209
225,3.641323637,3.206437061
226,3.630905175,3.171947871
227,3.697594679,3.2742958
228,3.520053274,3.168177723
229,3.669113588,3.306838003
230,3.436685372,3.30763593
231,3.444829578,3.314354327
232,3.676299353,3.464533214
233,3.645174696,3.417787537
234,3.508115249,3.278342047
235,3.697247939,3.213256215
236,3.67405178,3.387125545
237,3.738303474,3.380623814
238,3.681681041,3.425878498
239,3.833845816,3.314914699
240,3.706124254,3.43214842
241,3.759388852,3.266005243
242,3.751119972,3.235523212
243,3.704698657,3.238206601
244,3.586331701,3.250418814
245,3.664104539,3.073639345
246,3.761332655,3.13666391
247,3.779919918,3.037018194
248,3.848913556,3.110201209
249,3.734474297,3.128837547
250,3.742738765,3.166971606
251,3.673932117,3.275162865
252,3.883819946,3.135251976
253,3.591605621,3.26652389
254,3.835435079,3.321868801
255,3.774131567,3.183486596
256,3.694639745,3.308192248
257,3.934323367,3.340558386
258,3.752176917,3.272329543
259,3.624739092,3.292648578
260,3.901128309,3.279127185
261,3.787640473,3.191836841
262,3.623211026,3.201453959
263,3.94879389,3.255277929
264,3.572028852,3.51072409
265,3.672959701,3.370721473
266,3.620616798,3.579557926
267,3.771816725,3.436710277
268,3.654269358,3.578976697
269,3.726364088,3.545788208
270,3.733504882,3.602199275
271,3.882690308,3.574869097
272,3.829936034,3.535232982
273,3.930750298,3.434592531
274,3.763801614,3.527036744
275,3.854798984,3.574633741
276,3.613359998,3.427886924
277,3.894417885,3.344867712
278,3.925832315,3.517839281
279,3.738314526,3.484596974
280,3.867325729,3.537038159
281,3.760925051,3.505180861
282,3.821012757,3.586557086
283,3.859554702,3.484233446
284,3.919278652,3.492321055
285,3.942213231,3.554395736
286,3.862604735,3.617692588
287,3.887464253,3.621931705
288,3.866571709,3.515113426
289,3.880191299,3.456587533
290,3.728200303,3.603472529
291,3.797347071,3.589661816
292,3.923621659,3.662531117
293,3.842838782,3.646242723
294,3.869997062,3.421156125
295,3.785111846,3.555800524
296,3.699787217,3.651422481
297,3.766605179,3.719620685
298,3.875719307,3.587133325
299,3.785889448,3.776053535
300,3.874004558,3.634349259
301,3.908027244,3.728040238
302,3.752599315,3.618612306
303,3.852838791,3.740404412
304,3.905540384,3.740059
305,3.834950145,3.776070856
306,3.945661154,3.765168289
307,3.74490993,3.824208043
308,3.872039493,3.77829753
309,3.949861117,3.785274412
310,3.909522523,3.722981451
311,3.775839264,3.776253078
312,3.854979237,3.794969578
313,3.873826053,3.700055951
314,3.958021737,3.740420596
315,3.829020352,3.80085522
316,3.782717945,3.714510184
317,3.900038397,3.803271987
318,4.013436918,3.825306587
319,3.936504502,3.837680448
320,4.033319433,3.813870077
321,4.088785854,3.627717645
322,3.932839985,3.745962297
323,3.981443425,3.784602896
324,3.971754574,3.756752613
325,4.006591798,3.789484157
326,3.884348724,3.664264608
327,4.023287092,3.732579917
328,3.946421528,3.869118453
329,3.866417811,3.864002609
330,3.926460759,3.796838189
331,3.932044162,3.886137517
332,3.94017199,3.798658085
333,4.051719869,3.804770981
334,3.978550796,3.929479716
335,3.946399345,3.891911325
336,4.080780289,3.742194553
337,4.089084408,3.78411464
338,4.022609595,3.803058376
339,3.966119573,3.838260896
340,4.109106899,3.782209881
341,4.041902197,3.860744458
342,4.047750377,3.796845365
343,4.185087706,3.889018008
344,4.151977566,3.819106837
345,4.19684913,3.753318829
346,4.069544371,3.857102131
347,4.135695937,3.916296746
348,4.038806366,3.786906474
349,4.097504701,3.824863581
350,4.145682445,3.918744502
351,4.008195405,3.835750127
352,4.104600159,3.770964889
353,4.078582493,3.922523188
354,3.939134079,3.85415088
355,3.9544443,3.848553083
356,4.001753323,3.839066907
357,4.173521586,3.853524277
358,4.182214028,3.812366876
359,4.198658876,3.783443747
360,4.131464337,3.715208793
361,4.074462949,3.794866091
362,4.095034702,3.518259648
363,3.994207282,3.509430385
364,4.107935351,3.56226233
365,3.986498856,3.544837958
